
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f pm-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	number
Parcel Map	2	147	238
Parcel Map	2	148	239
Parcel Map	2	149	240
Parcel Map	2	150	241
Parcel Map	3	1	242
Parcel Map	3	3	243
Parcel Map	3	4	244
Parcel Map	3	5	245
Parcel Map	3	6	246
Parcel Map	3	7	247
Parcel Map	3	8	248
Parcel Map	3	9	249
Parcel Map	3	10	250
Parcel Map	3	11	251
Parcel Map	3	12	252
Parcel Map	3	13	253
Parcel Map	3	14	254
Parcel Map	3	15	255
Parcel Map	3	16	256
Parcel Map	3	17	257
Parcel Map	3	18	258
Parcel Map	3	19	259
Parcel Map	3	20	260
Parcel Map	3	21	261
Parcel Map	3	22	262
Parcel Map	3	23	263
Parcel Map	3	24	264
Parcel Map	3	25	265
Parcel Map	3	26	266
Parcel Map	3	27	267
Parcel Map	3	28	268
Parcel Map	3	29	269
Parcel Map	3	30	270
Parcel Map	3	31	271
Parcel Map	3	32	272
Parcel Map	3	33	273
Parcel Map	3	34	274
Parcel Map	3	35	275
Parcel Map	3	36	276
Parcel Map	3	37	277
Parcel Map	3	38	278
Parcel Map	3	39	279
Parcel Map	3	40	280
Parcel Map	3	41	281
Parcel Map	3	42	282
Parcel Map	3	43	283
Parcel Map	3	44	284
Parcel Map	3	45	285
Parcel Map	3	46	286
Parcel Map	3	47	287
Parcel Map	3	48	288
Parcel Map	3	49	289
Parcel Map	3	50	290
Parcel Map	3	51	291
Parcel Map	3	52	292
Parcel Map	3	53	293
Parcel Map	3	54	294
Parcel Map	3	55	295
Parcel Map	3	56	296
Parcel Map	3	57	297
Parcel Map	3	58	298
Parcel Map	3	59	299
Parcel Map	3	60	300
Parcel Map	3	61	301
Parcel Map	3	62	302
Parcel Map	3	63	303
Parcel Map	3	64	304
Parcel Map	3	65	305
Parcel Map	3	66	306
Parcel Map	3	67	307
Parcel Map	3	68	308
Parcel Map	3	69	309
Parcel Map	3	70	310
Parcel Map	3	71	311
Parcel Map	3	72	312
Parcel Map	3	73	313
Parcel Map	3	74	314
Parcel Map	3	75	315
Parcel Map	3	76	316
Parcel Map	3	77	317
Parcel Map	3	78	318
Parcel Map	3	79	319
Parcel Map	3	80	320
Parcel Map	3	81	321
Parcel Map	3	82	322
Parcel Map	3	83	323
Parcel Map	3	84	324
Parcel Map	3	85	325
Parcel Map	3	86	326
Parcel Map	3	87	327
Parcel Map	3	88	328
Parcel Map	3	89	329
Parcel Map	3	90	330
Parcel Map	3	91	331
Parcel Map	3	92	332
Parcel Map	3	93	333
Parcel Map	3	94	334
Parcel Map	3	95	335
Parcel Map	3	96	336
Parcel Map	3	97	337
Parcel Map	3	98	338
Parcel Map	3	99	339
Parcel Map	3	100	340
Parcel Map	3	101	341
Parcel Map	3	102	342
Parcel Map	3	103	343
Parcel Map	3	104	344
Parcel Map	3	105	345
Parcel Map	3	106	346
Parcel Map	3	107	347
Parcel Map	3	108	348
Parcel Map	3	109	349
Parcel Map	3	110	350
Parcel Map	3	111	351
Parcel Map	3	112	352
Parcel Map	3	113	353
Parcel Map	3	114	354
Parcel Map	3	115	355
Parcel Map	3	116	356
Parcel Map	3	117	357
Parcel Map	3	118	358
Parcel Map	3	119	359
Parcel Map	3	120	360
Parcel Map	3	121	361
Parcel Map	3	122	362
Parcel Map	3	123	363
Parcel Map	3	124	364
Parcel Map	3	125	365
Parcel Map	3	126	366
Parcel Map	3	127	367
Parcel Map	3	128	368
Parcel Map	3	129	369
Parcel Map	3	130	370
Parcel Map	3	131	371
Parcel Map	3	132	372
Parcel Map	3	133	373
Parcel Map	3	134	374
Parcel Map	3	135	375
Parcel Map	3	136	376
Parcel Map	3	137	377
Parcel Map	3	138	378
Parcel Map	3	139	379
Parcel Map	3	140	380
Parcel Map	3	141	381
Parcel Map	3	142	382
Parcel Map	3	143	383
Parcel Map	3	144	384
Parcel Map	3	145	385
Parcel Map	3	146	386
Parcel Map	3	147	387
Parcel Map	3	148	388
Parcel Map	3	149	389
Parcel Map	3	150	390
Parcel Map	4	1	391
Parcel Map	4	2	392
Parcel Map	4	3	393
Parcel Map	4	4	394
Parcel Map	4	5	395
Parcel Map	4	6	396
Parcel Map	4	7	397
Parcel Map	4	8	398
Parcel Map	4	9	399
Parcel Map	4	10	400
Parcel Map	4	11	401
Parcel Map	4	12	402
Parcel Map	4	13	403
Parcel Map	4	14	404
Parcel Map	4	15	405
Parcel Map	4	16	406
Parcel Map	4	17	407
Parcel Map	4	18	408
Parcel Map	4	19	409
Parcel Map	4	20	410
Parcel Map	4	21	411
Parcel Map	4	22	412
Parcel Map	4	23	413
Parcel Map	4	24	414
Parcel Map	4	25	415
Parcel Map	4	26	416
Parcel Map	4	27	417
Parcel Map	4	29	418
Parcel Map	4	30	419
Parcel Map	4	31	420
Parcel Map	4	32	421
Parcel Map	4	33	422
Parcel Map	4	34	423
Parcel Map	4	35	424
Parcel Map	4	36	425
Parcel Map	4	37	426
Parcel Map	4	38	427
Parcel Map	4	39	428
Parcel Map	4	40	429
Parcel Map	4	41	430
Parcel Map	4	42	431
Parcel Map	4	43	432
Parcel Map	4	44	433
Parcel Map	4	45	434
Parcel Map	4	46	435
Parcel Map	4	47	436
Parcel Map	4	48	437
Parcel Map	4	51	438
Parcel Map	4	52	439
Parcel Map	4	53	440
Parcel Map	4	54	441
Parcel Map	4	55	442
Parcel Map	4	56	443
Parcel Map	4	57	444
Parcel Map	4	58	445
Parcel Map	4	59	446
Parcel Map	4	60	447
Parcel Map	4	61	448
Parcel Map	4	62	449
Parcel Map	4	63	450
Parcel Map	4	64	451
Parcel Map	4	65	452
Parcel Map	4	66	453
Parcel Map	4	67	454
Parcel Map	4	68	455
Parcel Map	4	69	456
Parcel Map	4	70	457
Parcel Map	4	71	458
Parcel Map	4	72	459
Parcel Map	4	73	460
Parcel Map	4	74	461
Parcel Map	4	75	462
Parcel Map	4	76	463
Parcel Map	4	77	464
Parcel Map	4	78	465
Parcel Map	4	79	466
Parcel Map	4	80	467
Parcel Map	4	81	468
Parcel Map	4	82	469
Parcel Map	4	83	470
Parcel Map	4	84	471
Parcel Map	4	85	472
Parcel Map	4	86	473
Parcel Map	4	87	474
Parcel Map	4	88	475
Parcel Map	4	89	476
Parcel Map	4	91	477
Parcel Map	4	92	478
Parcel Map	4	93	479
Parcel Map	4	94	480
Parcel Map	4	95	481
Parcel Map	4	96	482
Parcel Map	4	97	483
Parcel Map	4	98	484
Parcel Map	4	99	485
Parcel Map	4	100	486
Parcel Map	4	101	487
Parcel Map	4	102	488
Parcel Map	4	103	489
Parcel Map	4	104	490
Parcel Map	4	105	491
Parcel Map	4	106	492
Parcel Map	4	107	493
Parcel Map	4	108	494
Parcel Map	4	109	495
Parcel Map	4	110	496
Parcel Map	4	111	497
Parcel Map	4	112	498
Parcel Map	4	113	499
Parcel Map	4	114	500
Parcel Map	4	115	501
Parcel Map	4	116	502
Parcel Map	4	117	503
Parcel Map	4	118	504
Parcel Map	4	119	505
Parcel Map	4	120	506
Parcel Map	4	121	507
Parcel Map	4	122	508
Parcel Map	4	123	509
Parcel Map	4	124	510
Parcel Map	4	125	511
Parcel Map	4	126	512
Parcel Map	4	127	513
Parcel Map	4	128	514
Parcel Map	4	129	515
Parcel Map	4	130	516
Parcel Map	4	131	517
Parcel Map	4	132	518
Parcel Map	4	133	519
Parcel Map	4	134	520
Parcel Map	4	135	521
Parcel Map	4	136	522
Parcel Map	4	137	523
Parcel Map	4	138	524
Parcel Map	4	139	525
Parcel Map	4	140	526
Parcel Map	4	141	527
Parcel Map	4	142	528
Parcel Map	4	143	529
Parcel Map	4	144	530
Parcel Map	4	145	531
Parcel Map	4	146	532
Parcel Map	4	147	533
Parcel Map	4	148	534
Parcel Map	4	149	535
Parcel Map	4	150	536
Parcel Map	5	1	537
Parcel Map	5	2	538
Parcel Map	5	3	539
Parcel Map	5	4	540
Parcel Map	5	5	541
Parcel Map	5	6	542
Parcel Map	5	7	543
Parcel Map	5	8	544
Parcel Map	5	9	545
Parcel Map	5	10	546
Parcel Map	5	12	547
Parcel Map	5	14	548
Parcel Map	5	15	549
Parcel Map	5	16	550
Parcel Map	5	17	551
Parcel Map	5	18	552
Parcel Map	5	19	553
Parcel Map	5	20	554
Parcel Map	5	21	555
Parcel Map	5	22	556
Parcel Map	5	24	557
Parcel Map	5	25	558
Parcel Map	5	26	559
Parcel Map	5	27	560
Parcel Map	5	28	561
Parcel Map	5	29	562
Parcel Map	5	30	563
Parcel Map	5	32	564
Parcel Map	5	33	565
Parcel Map	5	34	566
Parcel Map	5	35	567
Parcel Map	5	36	568
Parcel Map	5	37	569
Parcel Map	5	38	570
Parcel Map	5	39	571
Parcel Map	5	40	572
Parcel Map	5	43	573
Parcel Map	5	45	574
Parcel Map	5	46	575
Parcel Map	5	47	576
Parcel Map	5	48	577
Parcel Map	5	49	578
Parcel Map	5	50	579
Parcel Map	5	51	580
Parcel Map	5	52	581
Parcel Map	5	53	582
Parcel Map	5	54	583
Parcel Map	5	56	584
Parcel Map	5	57	585
Parcel Map	5	58	586
Parcel Map	5	59	587
Parcel Map	5	60	588
Parcel Map	5	61	589
Parcel Map	5	62	590
Parcel Map	5	65	591
Parcel Map	5	66	592
Parcel Map	5	67	593
Parcel Map	5	68	594
Parcel Map	5	71	595
Parcel Map	5	72	596
Parcel Map	5	73	597
Parcel Map	5	74	598
Parcel Map	5	75	599
