
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f tr-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	tract
Record Map	18	150	274
Record Map	19	1	275
Record Map	19	3	276
Record Map	19	5	277
Record Map	19	7	278
Record Map	19	8	279
Record Map	19	10	280
Record Map	19	11	281
Record Map	19	13	282
Record Map	19	15	283
Record Map	19	17	284
Record Map	19	19	285
Record Map	19	21	286
Record Map	19	23	287
Record Map	19	25	288
Record Map	19	27	289
Record Map	19	34	290
Record Map	19	36	291
Record Map	19	38	292
Record Map	19	40	293
Record Map	19	42	294
Record Map	19	45	295
Record Map	19	46	296
Record Map	19	48	297
Record Map	19	50	298
Record Map	19	52	299
Record Map	19	54	300
Record Map	19	57	301
Record Map	19	59	302
Record Map	19	61	303
Record Map	19	62	304
Record Map	19	64	305
Record Map	19	66	306
Record Map	19	69	307
Record Map	19	71	308
Record Map	19	72	309
Record Map	19	73	310
Record Map	19	75	311
Record Map	19	78	312
Record Map	19	80	313
Record Map	19	82	314
Record Map	19	84	315
Record Map	19	86	316
Record Map	19	89	317
Record Map	19	91	318
Record Map	19	93	319
Record Map	19	95	320
Record Map	19	97	321
Record Map	19	99	322
Record Map	19	101	323
Record Map	19	104	324
Record Map	19	108	325
Record Map	19	110	326
Record Map	19	112	327
Record Map	19	115	328
Record Map	19	118	329
Record Map	19	120	330
Record Map	19	123	331
Record Map	19	125	332
Record Map	19	127	333
Record Map	19	128	334
Record Map	19	130	335
Record Map	19	132	336
Record Map	19	134	337
Record Map	19	136	338
Record Map	19	139	339
Record Map	19	142	340
Record Map	19	144	341
Record Map	19	146	342
Record Map	19	148	343
Record Map	19	150	344
Record Map	20	1	345
Record Map	20	3	346
Record Map	20	5	347
Record Map	20	7	348
Record Map	20	9	349
Record Map	20	11	350
Record Map	20	12	351
Record Map	20	14	352
Record Map	20	16	353
Record Map	20	18	354
Record Map	20	22	355
Record Map	20	24	356
Record Map	20	26	357
Record Map	20	28	358
Record Map	20	29	359
Record Map	20	31	360
Record Map	20	33	361
Record Map	20	35	362
Record Map	20	37	363
Record Map	20	40	364
Record Map	20	43	365
Record Map	20	44	366
Record Map	20	49	367
Record Map	20	51	368
Record Map	20	53	369
Record Map	20	56	370
Record Map	20	58	371
Record Map	20	60	372
Record Map	20	62	373
Record Map	20	65	374
Record Map	20	67	375
Record Map	20	69	376
Record Map	20	71	377
Record Map	20	73	378
Record Map	20	75	379
Record Map	20	76	380
Record Map	20	78	381
Record Map	20	80	382
Record Map	20	82	383
Record Map	20	87	384
Record Map	20	89	385
Record Map	20	92	386
Record Map	20	94	387
Record Map	20	96	388
Record Map	20	99	389
Record Map	20	100	390
Record Map	20	102	391
Record Map	20	105	392
Record Map	20	107	393
Record Map	20	109	394
Record Map	20	111	395
Record Map	20	114	396
Record Map	20	116	397
Record Map	20	119	398
Record Map	20	121	399
Record Map	20	123	400
Record Map	20	125	401
Record Map	20	127	402
Record Map	20	131	403
Record Map	20	133	404
Record Map	20	135	405
Record Map	20	137	406
Record Map	20	138	407
Record Map	20	144	408
Record Map	20	146	409
Record Map	20	147	410
Record Map	20	150	411
Record Map	21	1	412
Record Map	21	3	413
Record Map	21	5	414
Record Map	21	7	415
Record Map	21	9	416
Record Map	21	11	417
Record Map	21	13	418
Record Map	21	16	419
Record Map	21	18	420
Record Map	21	20	421
Record Map	21	22	422
Record Map	21	25	423
Record Map	21	27	424
Record Map	21	31	425
Record Map	21	33	426
Record Map	21	35	427
Record Map	21	37	428
Record Map	21	40	429
Record Map	21	44	430
Record Map	21	46	431
Record Map	21	49	432
Record Map	21	52	433
Record Map	21	54	434
Record Map	21	56	435
Record Map	21	59	436
Record Map	21	61	437
Record Map	21	63	438
Record Map	21	65	439
Record Map	21	67	440
Record Map	21	70	441
Record Map	21	72	442
Record Map	21	74	443
Record Map	21	76	444
Record Map	21	80	445
Record Map	21	82	446
Record Map	21	84	447
Record Map	21	89	448
Record Map	21	91	449
Record Map	21	93	450
Record Map	21	97	451
Record Map	21	99	452
Record Map	21	102	453
Record Map	21	104	454
Record Map	21	106	455
Record Map	21	108	456
